t,C,sigma,norm
113,2.4011774826992286e-19,0.0,0.19327084543280995
114,2.9497294413930124e-19,0.0,0.19225547107535138
115,3.615626017846511e-19,0.0,0.1912542943421708
116,4.422287571117845e-19,0.0,0.19026697528562228
117,5.397477383669023e-19,0.0,0.18929318530279254
118,6.574046172584659e-19,0.0,0.18833260666318485
119,7.990793893389378e-19,0.0,0.18738493205921836
120,9.693465694547977e-19,0.0,0.18644986417832515
121,1.1735901071010298e-18,0.0,0.18552711529549637
122,1.4181357709636239e-18,0.0,0.18461640688519387
123,1.7104034243934198e-18,0.0,0.18371746925160662
124,2.0590819168467717e-18,0.0,0.18283004117628748
125,2.4743296535165028e-18,0.0,0.18195386958226165
126,2.9680042797847718e-18,0.0,0.18108870921374845
127,3.553925332361229e-18,0.0,0.18023432233068667
128,4.24817416892733e-18,0.0,0.1793904784172988
129,5.0694359970114786e-18,0.0,0.17855695390397275
130,6.039389385231032e-18,0.0,0.17773353190177807
131,7.183149260879196e-18,0.0,0.17692000194897411
132,8.529770082417828e-18,0.0,0.17611615976890055
133,1.0112816629481128e-17,0.0,0.17532180703867567
134,1.1971010682657925e-17,0.0,0.174536751168159
135,1.4148962777222866e-17,0.0,0.17376080508866454
136,1.6697999216242962e-17,0.0,0.17299378705093854
137,1.9677095626730584e-17,0.0,0.1722355204319426
138,2.3153929545936247e-17,0.0,0.17148583355000777
139,2.7206065842246336e-17,0.0,0.1707445594879478
140,3.192229021586613e-17,0.0,0.17001153592374313
141,3.740410759857072e-17,0.0,0.16928660496842685
142,4.376742399003438e-17,0.0,0.16856961301082438
143,5.1144432142064293e-17,0.0,0.16786041056881623
144,5.968572354370137e-17,0.0,0.16715885214681153
145,6.956265138264834e-17,0.0,0.16646479609913603
146,8.096997157573426e-17,0.0,0.16577810449905384
147,9.412879158791409e-17,0.0,0.16509864301315633
148,1.0928985961135363e-16,0.0,0.16442628078086755
149,1.267372297701837e-16,0.0,0.16376089029882543
150,1.4679234237027068e-16,0.0,0.16310234730991272
151,1.698185618456795e-16,0.0,0.16245053069672286
152,1.9622621898438118e-16,0.0,0.16180532237925616
153,2.264782082663419e-16,0.0,0.16116660721665313
154,2.6109619573984665e-16,0.0,0.16053427291278063
155,3.006674978204772e-16,0.0,0.15990820992549704
156,3.4585269674666396e-16,0.0,0.1592883113794299
157,3.9739406419267595e-16,0.0,0.15867447298210902
158,4.561248707522977e-16,0.0,0.15806659294330605
159,5.229796656938074e-16,0.0,0.15746457189743698
160,5.990056185803878e-16,0.0,0.15686831282889419
161,6.853750220825862e-16,0.0,0.1562777210001781
162,7.833990636155351e-16,0.0,0.15569270388270745
163,8.945429823497019e-16,0.0,0.1551131710901916
164,1.0204427377083299e-15,0.0,0.15453903431445395
165,1.1629233257176993e-15,0.0,0.15397020726360203
166,1.3240188905601957e-15,0.0,0.15340660560244382
167,1.505994790439423e-15,0.0,0.1528481468950552
168,1.7113717894477886e-15,0.0,0.15229475054940708
169,1.94295256057914e-15,0.0,0.15174633776396712
170,2.203850699403352e-15,0.0,0.15120283147619237
171,2.4975224632700355e-15,0.0,0.15066415631283517
172,2.8278014672909732e-15,0.0,0.15013023854198704
173,3.1989365858244126e-15,0.0,0.14960100602679
174,3.6156333268105274e-15,0.0,0.1490763881807463
175,4.0830989661504974e-15,0.0,0.14855631592456262
176,4.6070917504491744e-15,0.0,0.14804072164446627
177,5.193974498923257e-15,0.0,0.14752953915193476
178,5.850772959186723e-15,0.0,0.1470227036447821
179,6.5852392970393165e-15,0.0,0.14652015166954827
180,7.405921127382134e-15,0.0,0.14602182108514017
181,8.322236522049381e-15,0.0,0.14552765102767556
182,9.344555460764426e-15,0.0,0.1450375818764823
183,1.0484288223690822e-14,0.0,0.14455155522120866
184,1.1753981258248883e-14,0.0,0.14406951383000213
185,1.31674210891038e-14,0.0,0.14359140161871484
186,1.4739746878602205e-14,0.0,0.1431171636210974
187,1.6487572285547424e-14,0.0,0.14264674595994323
188,1.8429117313167453e-14,0.0,0.1421800958191479
189,2.0584350882558123e-14,0.0,0.14171716141664847
190,2.2975144915894677e-14,0.0,0.14125789197821126
191,2.5625440764420304e-14,0.0,0.14080223771203526
