t,S,R,gain,norm
149,0.08106233933036544,0.9189376606696346,1.0,19.999999999999005
150,0.08005003165965141,0.9199499683403486,1.0,19.999999999998998
151,0.07999283514336264,0.9200071648566374,1.0,19.999999999999
152,0.08031712124860135,0.9196828787513986,1.0,19.999999999999005
153,0.08077299156383766,0.9192270084361623,1.0,19.999999999999
154,0.08112297945761293,0.9188770205423871,1.0,19.999999999999
155,0.08138943943088284,0.9186105605691172,1.0,19.999999999999
156,0.081774418344707,0.918225581655293,1.0,19.999999999999
157,0.08243929151049889,0.9175607084895011,1.0,19.999999999999
158,0.0821412129463166,0.9178587870536834,1.0,19.999999999999
159,0.08159551610165916,0.9184044838983408,1.0,19.999999999999
160,0.08131487828896888,0.9186851217110311,1.0,19.999999999999
161,0.08154554758173016,0.9184544524182698,1.0,19.999999999999
162,0.0809547135919666,0.9190452864080334,1.0,19.999999999999
163,0.08275627129042407,0.9172437287095759,1.0,19.999999999999
164,0.08217484397373798,0.917825156026262,1.0,19.999999999999
165,0.08088607270901893,0.9191139272909811,1.0,19.999999999999
166,0.08164878760978111,0.9183512123902189,1.0,19.999999999999
167,0.08170264233628766,0.9182973576637123,1.0,19.999999999999005
168,0.08292083822826035,0.9170791617717396,1.0,19.999999999999
169,0.08163459478978863,0.9183654052102114,1.0,19.999999999999
170,0.08135216105253684,0.9186478389474632,1.0,19.999999999998998
171,0.0816197130620877,0.9183802869379123,1.0,19.999999999999005
172,0.08269564242926353,0.9173043575707365,1.0,19.999999999999
173,0.08249700648934699,0.917502993510653,1.0,19.999999999999005
174,0.08221405610561872,0.9177859438943813,1.0,19.999999999999
175,0.08188612473797185,0.9181138752620281,1.0,19.999999999999
176,0.08175156637321646,0.9182484336267835,1.0,19.999999999999005
177,0.08360952161628388,0.9163904783837161,1.0,19.999999999999
178,0.08298728723781335,0.9170127127621867,1.0,19.999999999999
179,0.08205197202905468,0.9179480279709453,1.0,19.999999999998998
180,0.08346369135048382,0.9165363086495162,1.0,19.999999999998998
181,0.08239105687467774,0.9176089431253223,1.0,19.999999999999
182,0.0825679081707591,0.9174320918292409,1.0,19.999999999999
183,0.08296769809799898,0.917032301902001,1.0,19.999999999999
184,0.08134683823247313,0.9186531617675269,1.0,19.999999999999
185,0.08118153161485442,0.9188184683851456,1.0,19.999999999999
186,0.08163465062742481,0.9183653493725752,1.0,19.999999999998998
187,0.08153575347478403,0.918464246525216,1.0,19.999999999999
188,0.0804179648605452,0.9195820351394548,1.0,19.999999999999
189,0.08072662984520218,0.9192733701547978,1.0,19.999999999999
190,0.08049935131561614,0.9195006486843839,1.0,19.999999999999005
191,0.08092908120694697,0.919070918793053,1.0,19.999999999998998
192,0.08075146150150636,0.9192485384984936,1.0,19.999999999999
193,0.08034324993821329,0.9196567500617867,1.0,19.999999999998998
194,0.08097452822921469,0.9190254717707853,1.0,19.999999999999
195,0.08011198874616232,0.9198880112538377,1.0,19.999999999999
196,0.07931413081971572,0.9206858691802843,1.0,19.999999999999
197,0.07994339101950465,0.9200566089804953,1.0,19.999999999998998
198,0.08065951423447537,0.9193404857655246,1.0,19.999999999999005
199,0.08046190888930282,0.9195380911106972,1.0,19.999999999999
200,0.08081750487805883,0.9191824951219412,1.0,19.999999999999005
201,0.08087480189814766,0.9191251981018523,1.0,19.999999999999005
202,0.08134461760271716,0.9186553823972828,1.0,19.999999999999005
203,0.08173622223327837,0.9182637777667216,1.0,19.999999999999
204,0.0814304936346294,0.9185695063653706,1.0,19.999999999999
205,0.08203600192412086,0.9179639980758791,1.0,19.999999999999
206,0.08124235407533975,0.9187576459246602,1.0,19.999999999999
207,0.08155076318115273,0.9184492368188473,1.0,19.999999999999
208,0.081205762516943,0.918794237483057,1.0,19.999999999999
209,0.08238370225809188,0.9176162977419081,1.0,19.999999999998998
210,0.08078800209167236,0.9192119979083276,1.0,19.999999999999
211,0.08171298546587458,0.9182870145341254,1.0,19.999999999999
212,0.08186748695087354,0.9181325130491265,1.0,19.999999999999
213,0.0819160740128162,0.9180839259871838,1.0,19.999999999999
214,0.08223947856846314,0.9177605214315369,1.0,19.999999999999
215,0.08201277823849518,0.9179872217615048,1.0,19.999999999998998
216,0.08236103726027433,0.9176389627397257,1.0,19.999999999998998
217,0.08178137890155712,0.9182186210984429,1.0,19.999999999999005
218,0.08408078843007971,0.9159192115699203,1.0,19.999999999999
