symbol_index,p0,p1,decoded_bit
208,8.928108027945434,369704.35041005997,1
209,824121.6786344053,717.0956719703632,0
210,426.6425510424599,367720.29628885724,1
211,820815.1760410435,498.7982376968023,0
212,816141.4308658707,15.853851801040351,0
213,401.4296459146096,384293.3733516274,1
214,2.763646483998034,377563.77514748904,1
215,810764.5423157088,754.330943611848,0
216,803333.6274118529,3.1842778433556465,0
217,800650.321719632,63.79221308874571,0
218,428.1560087214761,382790.0833770088,1
219,0.6250553222241801,364307.81963156874,1
220,807605.4384155256,949.711042318902,0
221,411.26734004514157,374096.8747242454,1
222,800387.1374910333,417.34442097010947,0
223,794268.7910104737,11.576856682901719,0
224,344.3496010238885,378326.99156386324,1
225,1.2903483163498415,370245.1516384808,1
226,13.497991056771324,355935.389193194,1
227,780928.384570489,570.2613888608442,0
228,367.6555379949399,372163.1206025522,1
229,776307.9249845893,479.8950819811436,0
230,778644.2662169407,20.41010904331505,0
231,331.05481134928715,376966.8329859243,1
232,3.5685918268035266,364482.22906492767,1
233,11.816499656752596,349639.05486913346,1
234,0.46189511534586664,355792.41831987887,1
235,3.051144424024187,357307.1221719397,1
236,777467.2067731535,487.0207615628509,0
237,307.7471725988743,360126.4955387791,1
238,1.1929295507563855,352021.3939019287,1
239,2.1793650819135317,324504.8130166804,1
240,772411.727809406,518.9300248937649,0
241,352.73859254402214,331609.86327541503,1
242,767948.9415587493,491.65701508103837,0
243,754659.1623423176,13.260299593359292,0
244,347.1688233669009,328073.5135414388,1
245,3.5473217128964842,32361.262841088417,1
246,4.632928583543129,78.43900621950998,1
247,1.5180993419433353,8.87829382855292,1
248,1.0354188174594308,18.333242719073304,1
249,0.2971035021348938,0.47575802091081276,1
250,0.03226903572509906,0.0002868992989938965,0
251,0.02926326478558538,0.05126042200840566,1
252,0.003035983645208679,0.03902218823399614,1
253,0.001926436692581183,0.006440124456692635,1
254,0.0004106852935220864,0.013878355341776404,1
255,42494.4400613753,0.012842189158210213,0
256,516741.2706894398,0.05724827316294781,0
257,518099.16219611856,0.11194923441918157,0
258,293.7078688298854,224206.0565729279,1
259,515519.85080491693,513.5606796592472,0
260,520638.3432522239,5.910708541882768,0
261,286.7102870255493,229598.66287855752,1
262,512358.69084413233,442.83058872790485,0
263,502860.20578065404,7.708169676438792,0
264,499269.6504540384,25.80529308920878,0
265,496197.3287732584,4.481705362369038,0
266,194.09739738468005,225035.31673038146,1
267,9.793156358772894,220949.62636676725,1
268,4.091068577224768,217257.91146424974,1
269,0.31421037357510206,221298.07973185185,1
270,497657.6788289666,238.545960712095,0
271,500959.1630908434,42.46806471964608,0
272,499645.4674962454,60.57677179824521,0
