t,alpha,v,a
99,0.05,3.4388257213785316,0.8301340490537077
100,0.05,3.4802286570750853,0.8280587139310734
101,0.05,3.5215280854323976,0.8259885671462457
102,0.05820263978561113,3.561279973899831,0.7950377693486653
103,0.17044047110991362,3.5809306620745414,0.3930137634942119
104,0.12885431203930953,3.607859744228437,0.5385816430779158
105,0.09765713271711424,3.6402430823350946,0.6476667621331498
106,0.10792733002034918,3.670598996510021,0.6071182834985271
107,0.132577994590967,3.6962669638147756,0.5133593460950855
108,0.1237576912956791,3.7233948905220653,0.5425585341457939
109,0.11346117478301827,3.7522718525990792,0.5775392415402787
110,0.1485843225390455,3.774395414039041,0.4424712287992366
111,0.17457970439074041,3.791448772257206,0.341067164363298
112,0.12289591278705597,3.8181510943746106,0.534046442348088
113,0.11893684685626388,3.845445151775325,0.5458811480142907
114,0.12070118928933758,3.872237661617015,0.535850196833801
115,0.06797695818688206,3.9090765147363444,0.7367770623865902
116,0.08096891322060022,3.9432508308816256,0.6834863229056265
117,0.05,3.9833927038044217,0.8028374584559187
118,0.09860333539585214,4.013753913465091,0.6072241932133823
119,0.10824063102610576,4.042031350646242,0.5655487436230371
120,0.11270595531455828,4.0692533004069436,0.544438995214021
121,0.08315453767174458,4.102334456563716,0.6616231231354399
122,0.07722404647785988,4.136494513226646,0.6832011332585975
123,0.05,4.176153276943579,0.7931752743386677
124,0.05,4.2157128937512205,0.791192336152821
125,0.06814198995943772,4.251349540467327,0.7127329343221322
126,0.05,4.290721166616159,0.7874325229766337
127,0.09233042607405817,4.320912960942226,0.6038358865213501
128,0.05,4.36011067853987,0.7839543519528887
129,0.08783692513321338,4.390961742777699,0.6170212847565693
130,0.05,4.429984338420755,0.780451912861115
131,0.08894955421712307,4.460282081816186,0.6059548679086371
132,0.09549711459636306,4.4889848783612205,0.5740559309006948
133,0.05,4.527762416165317,0.775550756081939
134,0.11245743747792275,4.552303388223778,0.4908194411692004
135,0.18454279525405332,4.560298648618412,0.15990520789268614
136,0.18125254995404297,4.568970360687708,0.17343424138593666
137,0.16755673634542695,4.580692272582917,0.2344382379041794
138,0.15956338804689513,4.594146733652239,0.2690892213864381
139,0.11080577190795782,4.618693834898201,0.49094202491924055
140,0.1657351098958037,4.630419848383105,0.2345202696980757
141,0.13859051330929437,4.648333235201857,0.3582677363750405
142,0.13603099267471053,4.6667173659884895,0.3676826157326427
143,0.09636617251455834,4.694231681450113,0.5502863092324679
144,0.06506251752854847,4.728960754897241,0.6945814689425844
145,0.05,4.767138353009998,0.7635519622551379
146,0.11285346568571963,4.7902389487829735,0.46201191545950815
147,0.10514908702541897,4.815054486178067,0.4963107479018676
148,0.15344516796185942,4.828112143959212,0.26115315562290187
149,0.1541113978075224,4.84090878839536,0.25593288872297215
150,0.11939122142237768,4.862010687743318,0.4220379869591555
151,0.10305695842226507,4.88695748607855,0.4989359667046285
152,0.0750454058971201,4.9186203006713125,0.6332562918552656
153,0.07544336085636578,4.950066438358363,0.6289227537410078
154,0.056680018872518,4.986037945401044,0.7194301408536301
155,0.05,5.023572850537541,0.7506981027299477
156,0.05,5.061013918411198,0.7488213574731228
157,0.05,5.0983613836151696,0.7469493040794402
158,0.13270287744002152,5.114533022323428,0.3234327741651777
159,0.09914121662743565,5.139179971007711,0.49293897368565986
160,0.05,5.176332021080192,0.7430410014496145
161,0.06686631662875155,5.209025908285337,0.6538777441029064
162,0.13722992660657815,5.223284196131049,0.28516575691423907
163,0.06452871148251775,5.256431606186882,0.662948201116665
164,0.054102619069954214,5.292212270344042,0.7156132831432036
165,0.05,5.3289817396681824,0.7353893864827978
166,0.05,5.365659285319012,0.7335509130165909
167,0.08674633546291957,5.392386721301811,0.5345487196559877
168,0.08557413953517734,5.419314278615995,0.5385511462836814
169,0.08914623174980761,5.445158706285668,0.5168885533934571
170,0.05153065812752815,5.481129075698481,0.7194073882562597
171,0.07426986627737397,5.510774939523424,0.5929172764988473
172,0.05,5.5469980021746155,0.7244612530238288
173,0.05,5.583130507169179,0.7226500998912693
174,0.05,5.619172680901256,0.7208434746415411
175,0.05,5.655124749199003,0.7190413659549372
176,0.11677659276500113,5.672105439205379,0.33961380012750886
177,0.09142135753807737,5.696177860237816,0.4814484206487317
178,0.10600537535586746,5.715986586629401,0.39617452783170837
179,0.10431585361749884,5.73617318562688,0.40373197994958054
180,0.08225859347938963,5.762580708716687,0.528150461796143
181,0.05686054496252865,5.796197534742277,0.6723365205118146
182,0.08836467453480795,5.8205885793074295,0.4878208913030424
183,0.07327129430811247,5.849264476365386,0.5735179411591271
184,0.06569911189954787,5.880049902297247,0.6157085186372202
185,0.06681018975927185,5.910407539808924,0.607152750233533
186,0.12563560577187194,5.923279658227798,0.2574423683774665
187,0.15966115450352886,5.925993774793802,0.05428233132008198
188,0.1787911678899285,5.9230180073986105,-0.05951534790382973
189,0.15061259822226641,5.928413950828031,0.10791886858842403
190,0.08151416222194315,5.9542514660027,0.5167503034933729
191,0.12899065880870825,5.965849325037079,0.23195718068759485
192,0.17731301551975207,5.962958188339139,-0.057822733958802
193,0.17027759556358504,5.962190279201311,-0.015358182756579852
194,0.19737178764376095,5.9533518715174,-0.17676815367821685
195,0.2364439403380312,5.932970172781382,-0.40763397472036655
196,0.2780031629712803,5.9005009490890075,-0.6493844738474877
197,0.32407233663360385,5.854891492595004,-0.912189129880072
198,0.3012914541005472,5.816690054024761,-0.7640287714048719
199,0.37704010323378306,5.75703378310234,-1.1931254184484152
