t,alpha,v,a
65,0.05,2.9785788399838755,0.8532040681712343
66,0.05,3.0211323928839158,0.8510710580008062
67,0.05042264785767832,3.0635157181450254,0.8476665052221892
68,0.05169296222057883,3.1055976080310144,0.8416377977197798
69,0.053804914381199116,3.147242787360886,0.8329035865974345
70,0.05674977012841684,3.188312522124834,0.8213946952789518
71,0.060516020570913515,3.2286653228160636,0.8070560138245924
72,0.06508932702723479,3.2681577401631503,0.7898483469417327
73,0.07045248183049779,3.3066452489727483,0.769750176191955
74,0.07658538680995276,3.343983213700955,0.7467592945641295
75,0.08346505108397186,3.38002792721318,0.7208942702445054
76,0.09106560962823546,3.4146377120255735,0.6921956962478707
77,0.09935836386874693,3.4476740712120044,0.6607271837286176
78,0.10831184529298701,3.4790028741809165,0.6265760593782427
79,0.11789190277660534,3.5084955607507933,0.5898537313975328
80,0.1280618139916212,3.5360303454562283,0.5506956941087032
81,0.13878242090074577,3.5614934028701826,0.5092611482790843
82,0.15001228895814941,3.5847800139964874,0.46573222252609536
83,0.16170788923807916,3.605795653524176,0.4203127905537761
84,0.17382380230856267,3.624456997982013,0.3732268891567391
85,0.18631294226820294,3.6406928356110826,0.3247167525813931
86,0.1991267989804246,3.6544448600897725,0.2750404895737999
87,0.21221569618222005,3.665668332082598,0.22446943985651313
88,0.22552906282387203,3.6743325949047114,0.17328525644226556
89,0.23901571472196625,3.680421433339843,0.12177676870263354
90,0.2526241433887631,3.683933267744487,0.07023668809287842
91,0.26630280874365286,3.68488117892326,0.01895822357545973
92,0.2800004323221181,3.6832927627655527,-0.031768323154149014
93,0.29366628757742913,3.679209817180444,-0.08165891170217221
94,0.307250483921038,3.672687867341658,-0.13043899677572512
95,0.32070424126787117,3.663795538546182,-0.17784657590952224
96,0.33398015203879483,3.6526137889960464,-0.223634991002712
97,0.34703242781871574,3.6392350174420756,-0.2675754310794163
98,0.35981712816755723,3.6237620628069345,-0.3094590927028176
99,0.3722923694236959,3.60630711457743,-0.3490989645900937
100,0.38441851171524455,3.5869905538887323,-0.3863312137739534
101,0.3961583227930192,3.565939745803584,-0.4210161617029633
102,0.4074771177090909,3.5432878033263675,-0.4530388495443327
103,0.41834287377561824,3.519172343213485,-0.4823092022576503
104,0.4287263206398879,3.4937342526933066,-0.5087618104035703
105,0.43860100569375404,3.467116484850407,-0.5323553568580004
106,0.4479433353907622,3.4394628987297975,-0.5530717224121862
107,0.45673259336535815,3.410917158253758,-0.5709148095207925
108,0.4649509365304333,3.3816217018958676,-0.585909127157809
109,0.47258337056835065,3.351716792802416,-0.5980981818690314
110,0.47961770642439894,3.321339656765014,-0.6075427207480371
111,0.4860444995596992,3.2906237131980074,-0.6143188713401344
112,0.49185697382365934,3.25969790211971,-0.618516221565945
113,0.49705093186605354,3.228686108127189,-0.6202358798504217
114,0.5016246540285973,3.197706680529377,-0.6195885519562396
115,0.5055787876391848,3.1668720471909886,-0.6166926667677646
116,0.5089162285830047,3.13628841825792,-0.611672578661377
117,0.511641996948163,3.106055574791776,-0.6046568693228778
118,0.5137631084439985,3.0762667364365344,-0.5957767671048333
119,0.5152884431727293,3.047008501566413,-0.5851646974024345
120,0.5162286132040576,3.0183608529071826,-0.5729529731846026
121,0.5165958302622012,2.990397221365257,-0.5592726308385119
122,0.5164037746895064,2.9631846007185554,-0.54425241293403
123,0.5156674667038775,2.9367837058971316,-0.5280178964284783
124,0.5144031408218201,2.91124916778574,-0.5106907622278289
125,0.512628124177535,2.8866297577909696,-0.4923881998954138
126,0.5103607193333544,2.8629686358092066,-0.4732224396352658
