t,peak,symmetry_error,chi,norm
211,1.0460942755,0.0023833088,0.0120000000,4.6446692171
212,1.0465038147,0.0023036624,0.0120000000,4.6454979195
213,1.0470925878,0.0021176991,0.0120000000,4.6460291900
214,1.0475380183,0.0023130524,0.0120000000,4.6467480846
215,1.0477899043,0.0023755717,0.0120000000,4.6472448358
216,1.0485528458,0.0024203195,0.0120000000,4.6471802673
217,1.0486873716,0.0023479225,0.0120000000,4.6474357447
218,1.0491862302,0.0024826336,0.0120000000,4.6475930304
219,1.0494554744,0.0025662845,0.0120000000,4.6474673739
220,1.0501220650,0.0023831690,0.0120000000,4.6484548734
221,1.0504927779,0.0025506015,0.0120000000,4.6489372228
222,1.0508110928,0.0022710650,0.0120000000,4.6488447393
223,1.0513382120,0.0023704220,0.0120000000,4.6488936056
224,1.0514518619,0.0021680300,0.0120000000,4.6488461194
225,1.0519909957,0.0019941338,0.0120000000,4.6490810036
226,1.0520271037,0.0019211704,0.0120000000,4.6497907222
227,1.0528196759,0.0016981016,0.0120000000,4.6506205031
228,1.0538171634,0.0019441554,0.0120000000,4.6514691755
229,1.0533356892,0.0016857102,0.0120000000,4.6508121486
230,1.0541286637,0.0012754165,0.0120000000,4.6509313693
231,1.0534789612,0.0012191210,0.0120000000,4.6513078163
232,1.0531200863,0.0013332818,0.0120000000,4.6518643985
233,1.0530202181,0.0009764726,0.0120000000,4.6524608829
234,1.0532205596,0.0010792308,0.0120000000,4.6533691481
235,1.0536048984,0.0008736062,0.0120000000,4.6540562852
236,1.0536134316,0.0009430943,0.0120000000,4.6549245715
237,1.0540553237,0.0009935630,0.0120000000,4.6549503570
238,1.0543280199,0.0007370777,0.0120000000,4.6549529571
239,1.0552156998,0.0009150245,0.0120000000,4.6555316323
240,1.0553093270,0.0010709048,0.0120000000,4.6560271311
241,1.0555565740,0.0009915029,0.0120000000,4.6566502504
242,1.0562270398,0.0011028879,0.0120000000,4.6570763872
243,1.0558863247,0.0012639590,0.0120000000,4.6573624618
244,1.0555802511,0.0012154295,0.0120000000,4.6574581126
245,1.0557009225,0.0009870592,0.0120000000,4.6577322128
246,1.0554479805,0.0011267444,0.0120000000,4.6579586483
247,1.0562878115,0.0012706566,0.0120000000,4.6580392881
248,1.0559367352,0.0010481418,0.0120000000,4.6582299921
249,1.0566437945,0.0013229569,0.0120000000,4.6579698102
250,1.0564900671,0.0012817173,0.0120000000,4.6583608422
251,1.0570478644,0.0010392835,0.0120000000,4.6589157507
252,1.0575173466,0.0010769773,0.0120000000,4.6594600753
253,1.0575126851,0.0009365527,0.0120000000,4.6598926907
254,1.0567451924,0.0008354368,0.0120000000,4.6598535928
255,1.0573744618,0.0010591161,0.0120000000,4.6599149244
256,1.0577480817,0.0011066274,0.0120000000,4.6599460776
257,1.0579515952,0.0011294278,0.0120000000,4.6602253432
258,1.0578624453,0.0013026775,0.0120000000,4.6603869575
259,1.0580771040,0.0014453086,0.0120000000,4.6611251940
260,1.0580247271,0.0016848329,0.0120000000,4.6613550289
261,1.0583012100,0.0017133379,0.0120000000,4.6620972853
262,1.0584413084,0.0016927967,0.0120000000,4.6628364232
263,1.0585304753,0.0017436821,0.0120000000,4.6629028153
264,1.0587096956,0.0016787972,0.0120000000,4.6632721217
265,1.0583224972,0.0016526757,0.0120000000,4.6638181801
266,1.0581871014,0.0016905367,0.0120000000,4.6639406689
267,1.0584254476,0.0017130658,0.0120000000,4.6643012969
268,1.0585205198,0.0018843975,0.0120000000,4.6648587238
269,1.0589287016,0.0020368324,0.0120000000,4.6651692510
270,1.0591810729,0.0019257179,0.0120000000,4.6655083314
271,1.0591142473,0.0018573436,0.0120000000,4.6658902329
272,1.0591086803,0.0020274669,0.0120000000,4.6658794545
273,1.0589468323,0.0021122172,0.0120000000,4.6662218823
274,1.0590139116,0.0022105243,0.0120000000,4.6663286375
275,1.0593235677,0.0022465880,0.0120000000,4.6668251553
276,1.0596508203,0.0023163284,0.0120000000,4.6675477026
277,1.0600510111,0.0021663069,0.0120000000,4.6683637819
278,1.0605852928,0.0021867775,0.0120000000,4.6684506429
279,1.0610874323,0.0022851608,0.0120000000,4.6692155300
280,1.0610848802,0.0022643851,0.0120000000,4.6697562513
281,1.0618928205,0.0023373047,0.0120000000,4.6701977627
282,1.0623303077,0.0024839497,0.0120000000,4.6699860675
283,1.0629983333,0.0024363992,0.0120000000,4.6707301642
284,1.0629559872,0.0023803375,0.0120000000,4.6709914331
285,1.0628973382,0.0024858450,0.0120000000,4.6713896976
286,1.0641723337,0.0027011268,0.0120000000,4.6723732400
287,1.0648637928,0.0028230398,0.0120000000,4.6728591911
288,1.0653265196,0.0026164631,0.0120000000,4.6733685945
289,1.0652329662,0.0026151854,0.0120000000,4.6741120131
290,1.0660143968,0.0027734958,0.0120000000,4.6746021472
291,1.0660809919,0.0023245342,0.0120000000,4.6740852683
292,1.0661751904,0.0023726930,0.0120000000,4.6742964657
293,1.0667187847,0.0022059372,0.0120000000,4.6746178900
294,1.0668324635,0.0020100487,0.0120000000,4.6753143544
295,1.0671440652,0.0021168675,0.0120000000,4.6766627324
296,1.0673415674,0.0021517533,0.0120000000,4.6768594602
297,1.0678332350,0.0021075742,0.0120000000,4.6774731805
298,1.0677657745,0.0021307411,0.0120000000,4.6789154696
299,1.0678051167,0.0021834010,0.0120000000,4.6795858547
300,1.0681336791,0.0024146402,0.0120000000,4.6801715263
301,1.0685682060,0.0025022547,0.0120000000,4.6804720932
302,1.0684709025,0.0024301285,0.0120000000,4.6809444166
303,1.0688581081,0.0024911817,0.0120000000,4.6812439157
304,1.0693651680,0.0024263073,0.0120000000,4.6813283046
305,1.0691440049,0.0026985640,0.0120000000,4.6819835751
306,1.0697588542,0.0029426144,0.0120000000,4.6818700599
307,1.0696217935,0.0030053726,0.0120000000,4.6819925691
308,1.0695928621,0.0029804616,0.0120000000,4.6818702172
309,1.0695112412,0.0029229195,0.0120000000,4.6818672621
310,1.0698466300,0.0028785382,0.0120000000,4.6821899775
311,1.0699425934,0.0030323513,0.0120000000,4.6829703286
312,1.0699039088,0.0028655592,0.0120000000,4.6838397036
313,1.0702101960,0.0028824496,0.0120000000,4.6847141613
314,1.0705718106,0.0027186122,0.0120000000,4.6854984845
315,1.0708564378,0.0026559305,0.0120000000,4.6854963509
316,1.0712701026,0.0027296318,0.0120000000,4.6857535400
317,1.0720284896,0.0030928726,0.0120000000,4.6862852031
318,1.0716191256,0.0030347874,0.0120000000,4.6865830671
319,1.0720519783,0.0030859636,0.0120000000,4.6870344877
320,1.0723745195,0.0032898637,0.0120000000,4.6879652320
321,1.0732187148,0.0032628958,0.0120000000,4.6883469193
322,1.0736983577,0.0031492435,0.0120000000,4.6893782342
