t,norm,width_fwhm,peak_a2,chi
1969,5.59160804504541,3.0,8.208355031627317,0.2
1970,5.591608045045412,3.0,8.22164691007325,0.2
1971,5.59160804504541,3.0,8.234858082705461,0.2
1972,5.591608045045412,3.0,8.247990794130704,0.2
1973,5.59160804504541,3.0,8.26104770243629,0.2
1974,5.591608045045412,3.0,8.274031877913176,0.2
1975,5.59160804504541,3.0,8.286946800958171,0.2
1976,5.59160804504541,3.0,8.299796359149214,0.2
1977,5.591608045045412,3.0,8.312584843489445,0.2
1978,5.59160804504541,3.0,8.325316943818303,0.2
1979,5.591608045045412,3.0,8.337997743390115,0.2
1980,5.591608045045411,3.0,8.350632712622483,0.2
1981,5.591608045045411,3.0,8.363227702019389,0.2
1982,5.591608045045411,3.0,8.375788934275567,0.2
1983,5.591608045045412,3.0,8.388322995570892,0.2
1984,5.59160804504541,3.0,8.400836826065332,0.2
1985,5.591608045045411,3.0,8.41333770960689,0.2
1986,5.591608045045412,3.0,8.425833262666474,0.2
1987,5.591608045045411,3.0,8.438331422515457,0.2
1988,5.59160804504541,3.0,8.450840434662823,0.2
1989,5.591608045045412,3.0,8.46336883957042,0.2
1990,5.591608045045411,3.0,8.475925458665701,0.2
1991,5.591608045045411,3.0,8.488519379672754,0.2
1992,5.591608045045411,3.0,8.50115994128286,0.2
1993,5.591608045045411,3.0,8.513856717187041,0.2
1994,5.591608045045411,3.0,8.526619499493338,0.2
1995,5.591608045045411,3.0,8.539458281552202,0.2
1996,5.591608045045411,3.0,8.552383240213679,0.2
1997,5.591608045045411,3.0,8.565404717540295,0.2
1998,5.591608045045411,3.0,8.578533201999578,0.2
1999,5.59160804504541,3.0,8.59177930916022,0.2
2000,5.591608045045412,3.0,8.605153761915613,0.2
2001,5.591608045045412,3.0,8.618667370258285,0.2
2002,5.591608045045411,3.0,8.632331010628516,0.2
2003,5.591608045045411,3.0,8.646155604859795,0.2
2004,5.59160804504541,3.0,8.660152098743419,0.2
2005,5.591608045045411,3.0,8.67433144023398,0.2
2006,5.591608045045412,1.0,8.68870455731674,0.2
2007,5.591608045045411,1.0,8.703282335557558,0.2
2008,5.591608045045411,1.0,8.718075595355002,0.2
2009,5.59160804504541,1.0,8.733095068913988,0.2
2010,5.59160804504541,1.0,8.748351376959507,0.2
2011,5.591608045045411,1.0,8.763855005208319,0.2
2012,5.591608045045411,1.0,8.779616280616233,0.2
2013,5.591608045045412,1.0,8.795645347417796,0.2
2014,5.591608045045411,1.0,8.811952142975048,0.2
2015,5.591608045045411,1.0,8.828546373451664,0.2
2016,5.591608045045412,1.0,8.845437489328528,0.2
2017,5.59160804504541,1.0,8.86263466077688,0.2
2018,5.59160804504541,1.0,8.88014675290525,0.2
2019,5.591608045045411,1.0,8.897982300896519,0.2
2020,5.591608045045411,1.0,8.91614948505223,0.2
2021,5.591608045045412,1.0,8.93465610576148,0.2
2022,5.59160804504541,1.0,8.953509558412964,0.2
2023,5.591608045045411,1.0,8.972716808269643,0.2
2024,5.59160804504541,1.0,8.992284365326658,0.2
2025,5.59160804504541,1.0,9.012218259175066,0.2
2026,5.591608045045412,1.0,9.032524013895284,0.2
2027,5.591608045045411,1.0,9.053206623006535,0.2
2028,5.591608045045411,1.0,9.074270524500742,0.2
2029,5.591608045045411,1.0,9.095719575991875,0.2
2030,5.59160804504541,1.0,9.117557030014737,0.2
2031,5.591608045045411,1.0,9.13978550951015,0.2
2032,5.591608045045411,1.0,9.162406983536933,0.2
2033,5.591608045045412,1.0,9.18542274325483,0.2
2034,5.59160804504541,1.0,9.208833378226172,0.2
2035,5.591608045045412,1.0,9.232638753088626,0.2
2036,5.59160804504541,1.0,9.25683798465519,0.2
2037,5.591608045045411,1.0,9.281429419502887,0.2
2038,5.59160804504541,1.0,9.3064106121157,0.2
2039,5.59160804504541,1.0,9.331778303652749,0.2
2040,5.591608045045411,1.0,9.357528401417621,0.2
2041,5.591608045045412,1.0,9.383655959109905,0.2
2042,5.59160804504541,1.0,9.410155157945383,0.2
2043,5.591608045045412,1.0,9.437019288736646,0.2
2044,5.591608045045412,1.0,9.464240735030971,0.2
2045,5.59160804504541,1.0,9.491810957407942,0.2
2046,5.591608045045411,1.0,9.519720479043947,0.2
2047,5.59160804504541,1.0,9.547958872655938,0.2
2048,5.591608045045411,1.0,9.576514748941397,0.2
2049,5.59160804504541,1.0,9.605375746635815,0.2
2050,5.591608045045411,1.0,9.63452852431303,0.2
2051,5.59160804504541,1.0,9.663958754057248,0.2
2052,5.59160804504541,1.0,9.693651117138616,0.2
2053,5.591608045045412,1.0,9.723589301826449,0.2
2054,5.591608045045411,1.0,9.753756003475976,0.2
2055,5.591608045045411,1.0,9.784132927025343,0.2
2056,5.591608045045411,1.0,9.814700792039366,0.2
2057,5.59160804504541,1.0,9.845439340435771,0.2
2058,5.59160804504541,1.0,9.876327347027402,0.2
2059,5.591608045045411,1.0,9.907342633010725,0.2
2060,5.591608045045411,1.0,9.938462082526499,0.2
2061,5.59160804504541,1.0,9.969661662412765,0.2
2062,5.591608045045411,1.0,10.000916445263076,0.2
2063,5.591608045045411,1.0,10.032200635894519,0.2
2064,5.591608045045411,1.0,10.063487601319864,0.2
2065,5.591608045045411,1.0,10.094749904306722,0.2
2066,5.59160804504541,1.0,10.125959340593466,0.2
2067,5.59160804504541,1.0,10.15708697981697,0.2
2068,5.591608045045411,1.0,10.188103210191061,0.2
