t,v0,T,coherence
1.4040000000000001,6.0,0.4155571815586442,0.05004406624618284
1.41,6.0,0.41564653745147984,0.04877871251156853
1.416,6.0,0.41522342914339205,0.047686968113632905
1.422,6.0,0.4141064883405433,0.04689942590069377
1.428,6.0,0.41221829336827626,0.04660290464413486
1.434,6.0,0.40958559999688576,0.04688032127767141
1.44,6.0,0.4063278672070251,0.04781500370421434
1.446,6.0,0.40263688023374133,0.04937004679703776
1.452,6.0,0.39874944366999177,0.05146852127397484
1.458,6.0,0.39491492551172674,0.054053824075937874
1.464,6.0,0.39136094964586116,0.05707391842009162
1.47,6.0,0.3882626871247479,0.06049369779574216
1.476,6.0,0.3857221469924746,0.06423296694827803
1.482,6.0,0.38376198098252023,0.06819782430872716
1.488,6.0,0.38233402114897225,0.07232326197117235
1.494,6.0,0.38133815167660284,0.07670705405284707
1.5,6.0,0.38064491076589096,0.08129630835824779
1.506,6.0,0.38011639063682745,0.08598549361837425
1.512,6.0,0.3796232872356225,0.09061326591206678
1.518,6.0,0.37905895117026156,0.09499422123155112
1.524,6.0,0.3783519925401807,0.09889014357695096
1.53,6.0,0.37747733236318665,0.10208099658562542
1.536,6.0,0.3764632929179721,0.10441043798852366
1.542,6.0,0.3753912637487639,0.10564850258080721
1.548,6.0,0.37438563626265986,0.10556026539561982
1.554,6.0,0.3735943323351042,0.10415811682988602
1.56,6.0,0.37316293414235685,0.10146623979131972
1.566,6.0,0.37320709385355716,0.09765422869426338
1.572,6.0,0.3737882422112996,0.09280768667980438
1.578,6.0,0.37489717034555625,0.08706552820017857
1.584,6.0,0.3764488303493734,0.08070035140855396
1.59,6.0,0.3782897895211846,0.07405063777777447
1.596,6.0,0.3802173445464372,0.06757955628995911
1.602,6.0,0.3820064828977132,0.06184791029419001
1.608,6.0,0.3834389379793742,0.05741593057848692
1.614,6.0,0.38432837494295824,0.05473347654303234
1.62,6.0,0.3845378569752575,0.054052481476634565
1.6260000000000001,6.0,0.3839891940194513,0.05521862082263956
1.6320000000000001,6.0,0.3826668199785451,0.05783396931402477
1.6380000000000001,6.0,0.38061961872105143,0.061417999353699564
1.6440000000000001,6.0,0.3779622485539539,0.06548761574515911
1.6500000000000001,6.0,0.37487414670401153,0.06965018616707236
1.6560000000000001,6.0,0.3715918901948234,0.07370121060261009
1.6620000000000001,6.0,0.36839092338942137,0.07744961426750085
1.668,6.0,0.36555614915990065,0.08074510183414647
1.674,6.0,0.3633461011835774,0.08345979840288134
1.68,6.0,0.36195951708975155,0.08551331844429537
1.686,6.0,0.36151369819260226,0.08691752957553303
1.692,6.0,0.362040227914583,0.08774036374362101
1.698,6.0,0.36349732853680683,0.08807859322579496
1.704,6.0,0.3657922943123362,0.08810502921110192
1.71,6.0,0.3688047655916079,0.08801267579572337
1.716,6.0,0.3724030364542129,0.08793288424768807
1.722,6.0,0.3764499895720861,0.08799625055228115
1.728,6.0,0.3808003205316033,0.08833644848028384
1.734,6.0,0.3852943776479375,0.08894901697197295
1.74,6.0,0.3897546761429782,0.0898686567958147
