t,C,sigma,norm
88,0.9879514498175139,1.0,0.1611423579846625
89,0.9881507995923019,1.0,0.16004355015587857
90,0.988345219599348,1.0,0.1589651566266034
91,0.9885348325403979,1.0,0.15790654710522703
92,0.9887197593620347,1.0,0.1568671172236342
93,0.988900119125196,1.0,0.15584628726916755
94,0.9890760288963821,1.0,0.15484350098575264
95,0.9892476036580795,1.0,0.15385822444013164
96,0.9894149562362046,1.0,0.15288994494940103
97,0.9895781972426152,1.0,0.1519381700662847
98,0.9897374350309476,1.0,0.1510024266187907
99,0.989892775664241,1.0,0.1500822598011065
100,0.9900443228929596,1.0,0.14917723231277916
101,0.9901921781422052,1.0,0.14828692354340559
102,0.990336440507002,1.0,0.14741092880022835
103,0.9904772067546915,1.0,0.1465488585761886
104,0.990614571333568,1.0,0.14570033785613543
105,0.9907486263869608,1.0,0.1448650054590314
106,0.9908794617720831,1.0,0.14404251341412064
107,0.9910071650830152,1.0,0.14323252636915051
108,0.9911318216772679,1.0,0.1424347210288499
109,0.9912535147054271,1.0,0.1416487856219748
110,0.9913723251434388,1.0,0.14087441939533224
111,0.9914883318271253,1.0,0.14011133213328764
112,0.9916016114885892,1.0,0.13935924370134797
113,0.9917122387941741,1.0,0.1386178836124978
114,0.991820286383703,1.0,0.1378869906150405
115,0.9919258249107364,1.0,0.13716631230077223
116,0.9920289230836277,1.0,0.13645560473238252
117,0.9921296477071626,1.0,0.13575463208904154
118,0.9922280637246129,1.0,0.13506316632919269
119,0.9923242342600338,1.0,0.1343809868696269
120,0.9924182206606684,1.0,0.13370788027996802
121,0.9925100825393229,1.0,0.1330436399917486
122,0.9925998778166191,1.0,0.13238806602130126
123,0.9926876627629951,1.0,0.13174096470573815
124,0.9927734920403979,1.0,0.13110214845132792
125,0.9928574187435699,1.0,0.13047143549362256
126,0.9929394944408714,1.0,0.12984864966872134
127,0.9930197692145772,1.0,0.12923362019509324
128,0.9930982917006038,1.0,0.12862618146541305
129,0.9931751091276142,1.0,0.1280261728478955
130,0.993250267355472,1.0,0.127433438496641
131,0.9933238109130106,1.0,0.1268478271705343
132,0.9933957830350915,1.0,0.12626919206026102
133,0.9934662256989345,1.0,0.1256973906230329
134,0.9935351796596986,1.0,0.1251322844246338
135,0.9936026844853031,1.0,0.12457373898842018
136,0.993668778590483,1.0,0.12402162365092993
137,0.9937334992700679,1.0,0.12347581142377176
138,0.9937968827314814,1.0,0.12293617886148561
139,0.9938589641264648,1.0,0.12240260593508093
140,0.9939197775820207,1.0,0.12187497591097515
141,0.9939793562305839,1.0,0.12135317523507078
142,0.9940377322394229,1.0,0.12083709342172143
143,0.9940949368392792,1.0,0.12032662294735247
144,0.9941510003522496,1.0,0.11982165914851302
145,0.9942059522189266,1.0,0.11932210012414816
146,0.994259821024801,1.0,0.1188278466418916
147,0.994312634525941,1.0,0.1183388020481888
148,0.994364419673956,1.0,0.11785487218207155
