t,kappa,b0,b1,bmag,ang_err
4.2700000000000005,0.6,0.0001663134081472704,0.00016125939695936983,0.000231656519090787,0.7699707221044392
4.28,0.6,0.00016584730414325965,0.00016081305920113788,0.00023101118652830548,0.7699881320370672
4.29,0.6,0.00016538289359175443,0.00016036833083927794,0.00023036819014125555,0.770005537578065
4.3,0.6,0.0001649201689034071,0.00015992520461410943,0.00022972751942680505,0.7700229384714499
4.3100000000000005,0.6,0.0001644591225285657,0.00015948367330458044,0.0002290891639375113,0.7700403344622644
4.32,0.6,0.00016399974695704373,0.00015904372972804238,0.00022845311328099902,0.7700577252965868
4.33,0.6,0.00016354203471789092,0.00015860536674001445,0.00022781935711963178,0.7700751107215078
4.34,0.6,0.00016308597837916587,0.00015816857723396278,0.00022718788517019523,0.7700924904851423
4.3500000000000005,0.6,0.00016263157054770982,0.00015773335414107537,0.0002265586872035778,0.7701098643366318
4.36,0.6,0.00016217880386892183,0.0001572996904300335,0.00022593175304445054,0.770127232026125
4.37,0.6,0.00016172767102653546,0.00015686757910679666,0.0002253070725709568,0.7701445933047992
4.38,0.6,0.0001612781647423967,0.00015643701321437414,0.00022468463571439395,0.7701619479248336
4.39,0.6,0.00016083027777624335,0.00015600798583261433,0.00022406443245890856,0.7701792956394367
4.4,0.6,0.0001603840029254858,0.00015558049007798188,0.00022344645284118353,0.7701966362028281
4.41,0.6,0.00015993933302498896,0.00015515451910334032,0.00022283068695013066,0.7702139693702352
4.42,0.6,0.00015949626094685578,0.00015473006609773758,0.0002222171249265856,0.7702312948978931
4.43,0.6,0.0001590547796002119,0.0001543071242861998,0.0002216057569630101,0.7702486125430683
4.44,0.6,0.00015861488193099176,0.00015388568692950146,0.00022099657330317815,0.7702659220640014
4.45,0.6,0.00015817656092172598,0.00015346574732397238,0.00022038956424188925,0.7702832232199639
4.46,0.6,0.00015773980959132999,0.00015304729880128028,0.0002197847201246652,0.7703005157712313
4.47,0.6,0.00015730462099489403,0.0001526303347282149,0.00021918203134744914,0.7703177994790584
4.48,0.6,0.0001568709882234745,0.00015221484850650057,0.00021858148835632532,0.7703350741057431
4.49,0.6,0.00015643890440388645,0.0001518008335725706,0.00021798308164721315,0.7703523394145568
4.5,0.6,0.0001560083626984973,0.00015138828339737062,0.0002173868017655821,0.770369595169774
4.51,0.6,0.00015557935630502225,0.00015097719148615422,0.00021679263930616266,0.7703868411366614
4.5200000000000005,0.6,0.00015515187845632024,0.00015056755137828659,0.0002162005849126633,0.7704040770814999
4.53,0.6,0.00015472592242019186,0.0001501593566470338,0.00021561062927747863,0.7704213027715467
4.54,0.6,0.0001543014814991781,0.0001497526008993703,0.0002150227631414109,0.7704385179750588
4.55,0.6,0.00015387854903036035,0.00014934727777577876,0.00021443697729338714,0.7704557224612829
4.5600000000000005,0.6,0.00015345711838516185,0.00014894338095005404,0.00021385326257018037,0.7704729160004584
4.57,0.6,0.0001530371829691502,0.00014854090412910683,0.0002132716098561308,0.7704900983638145
4.58,0.6,0.000152618736221841,0.000148139841052763,0.00021269201008286553,0.7705072693235446
4.59,0.6,0.00015220177161650293,0.00014774018549358666,0.00021211445422903528,0.7705244286528625
4.6000000000000005,0.6,0.0001517862826599637,0.00014734193125666957,0.00021153893332002868,0.7705415761259373
4.61,0.6,0.0001513722628924177,0.00014694507217945604,0.00021096543842771205,0.7705587115179444
4.62,0.6,0.00015095970588723418,0.0001465496021315331,0.00021039396067014588,0.7705758346049971
4.63,0.6,0.00015054860525076717,0.00014615551501446464,0.00020982449121133292,0.7705929451642186
4.64,0.6,0.00015013895462216625,0.0001457628047615904,0.00020925702126094222,0.7706100429736962
4.65,0.6,0.00014973074767318852,0.0001453714653378409,0.00020869154207404556,0.7706271278124825
4.66,0.6,0.00014932397810801188,0.00014498149073956487,0.0002081280449508632,0.7706441994606341
4.67,0.6,0.0001489186396630493,0.00014459287499432705,0.00020756652123648988,0.7706612576991496
4.68,0.6,0.00014851472610676421,0.0001442056121607338,0.00020700696232064074,0.7706783023099932
4.69,0.6,0.00014811223123948716,0.0001438196963282565,0.00020644935963739686,0.7706953330761124
4.7,0.6,0.00014771114889323346,0.00014343512161704646,0.00020589370466494574,0.7707123497814163
4.71,0.6,0.00014731147293152206,0.00014305188217774898,0.00020533998892532143,0.770729352210755
4.72,0.6,0.00014691319724919545,0.0001426699721913372,0.00020478820398416004,0.7707463401499539
4.73,0.6,0.00014651631577224073,0.00014228938586893086,0.00020423834145044475,0.7707633133858014
4.74,0.6,0.00014612082245761166,0.0001419101174516207,0.00020369039297625613,0.7707802717060455
4.75,0.6,0.00014572671129305193,0.00014153216121028765,0.00020314435025651923,0.7707972148993711
4.76,0.6,0.00014533397629691946,0.0001411555114454364,0.00020260020502876167,0.770814142755424
4.7700000000000005,0.6,0.0001449426115180118,0.0001407801624870201,0.00020205794907286642,0.7708310550647983
4.78,0.6,0.0001445526110353925,0.00014040610869427207,0.00020151757421082962,0.7708479516190483
4.79,0.6,0.00014416396895821862,0.00014003334445552863,0.00020097907230651391,0.7708648322106582
4.8,0.6,0.00014377667942556938,0.0001396618641880627,0.00020044243526540936,0.7708816966330554
4.8100000000000005,0.6,0.00014339073660627564,0.0001392916623379244,0.0001999076550344,0.7708985446806365
4.82,0.6,0.00014300613469875063,0.00013892273337975895,0.00019937472360151572,0.7709153761487153
4.83,0.6,0.0001426228679308216,0.00013855507181664714,0.00019884363299570049,0.7709321908335416
4.84,0.6,0.00014224093055956253,0.00013818867217994433,0.00019831437528657978,0.7709489885323166
4.8500000000000005,0.6,0.00014186031687112786,0.00013782352902910608,0.0001977869425842203,0.7709657690431526
4.86,0.6,0.00014148102118058726,0.00013745963695154014,0.00019726132703890795,0.7709825321651254
4.87,0.6,0.00014110303783176133,0.0001370969905624262,0.0001967375208409048,0.7709992776982082
4.88,0.6,0.00014072636119705838,0.00013673558450457045,0.00019621551622023032,0.771016005443323
4.89,0.6,0.00014035098567731226,0.00013637541344823487,0.00019569530544642636,0.7710327152023035
4.9,0.6,0.00013997690570162095,0.0001360164720909825,0.0001951768808283335,0.7710494067779052
4.91,0.6,0.00013960411572718645,0.00013565875515752598,0.00019466023471387074,0.7710660799738314
4.92,0.6,0.0001392326102391553,0.00013530225739955958,0.00019414535948980395,0.7710827345946867
4.93,0.6,0.00013886238375046046,0.00013494697359560154,0.00019363224758152275,0.7710993704459739
4.94,0.6,0.00013849343080166382,0.00013459289855085368,0.0001931208914528297,0.7711159873341411
4.95,0.6,0.0001381257459607998,0.00013424002709703058,0.0001926112836057091,0.7711325850665234
4.96,0.6,0.00013775932382321994,0.00013388835409222289,0.00019210341658012028,0.7711491634513967
4.97,0.6,0.0001373941590114384,0.0001335378744207246,0.00019159728295376643,0.771165722297904
4.98,0.6,0.0001370302461749784,0.00013318858299290193,0.00019109287534189315,0.7711822614161239
4.99,0.6,0.0001366675799902196,0.00013284047474503444,0.00019059018639706822,0.7711987806170422
5.0,0.6,0.00013630615516024632,0.0001324935446391612,0.00019008920880896567,0.7712152797125262
5.01,0.6,0.00013594596641469688,0.0001321477876629319,0.0001895899353041538,0.7712317585153281
5.0200000000000005,0.6,0.00013558700850961375,0.00013180319882947846,0.0001890923586458985,0.7712482168391492
5.03,0.6,0.00013522927622729449,0.00013145977317724486,0.00018859647163393747,0.7712646544985517
5.04,0.6,0.00013487276437614373,0.0001311175057698532,0.000188102267104281,0.7712810713090028
5.05,0.6,0.00013451746779052624,0.00013077639169594953,0.00018760973792899898,0.771297467086832
5.0600000000000005,0.6,0.00013416338133062045,0.0001304364260690703,0.00018711887701602293,0.7713138416492722
5.07,0.6,0.00013381049988227316,0.00013009760402750157,0.0001866296773089436,0.7713301948144653
5.08,0.6,0.0001334588183568551,0.00012975992073411757,0.00018614213178679492,0.7713465264013855
5.09,0.6,0.00013310833169111736,0.00012942337137626387,0.00018565623346386955,0.7713628362299305
5.1000000000000005,0.6,0.0001327590348470486,0.00012908795116560313,0.0001851719753895092,0.7713791241208674
5.11,0.6,0.00013241092281173324,0.00012875365533797535,0.00018468935064790533,0.7713953898958272
5.12,0.6,0.0001320639905972105,0.0001284204791532711,0.00018420835235790975,0.7714116333773502
5.13,0.6,0.00013171823324033413,0.00012808841789526928,0.00018372897367282113,0.7714278543887887
5.14,0.6,0.00013137364580263333,0.00012775746687152602,0.00018325120778020762,0.7714440527544042
5.15,0.6,0.00013103022337017413,0.00012742762141323266,0.00018277504790170863,0.7714602282993415
5.16,0.6,0.0001306879610534219,0.00012709887687506322,0.0001823004872928298,0.771476380849561
5.17,0.6,0.0001303468539871045,0.00012677122863506045,0.00018182751924276564,0.7714925102319152
5.18,0.6,0.00013000689733007638,0.0001264446720944949,0.0001813561370742037,0.7715086162741156
5.19,0.6,0.00012966808626518352,0.00012611920267773376,0.0001808863341431363,0.7715246988047397
5.2,0.6,0.00012933041599912903,0.00012579481583209736,0.00018041810383866432,0.7715407576531814
5.21,0.6,0.00012899388176233976,0.0001254715070277538,0.00017995143958282793,0.7715567926497497
5.22,0.6,0.00012865847880883354,0.00012514927175755552,0.00017948633483039748,0.7715728036255354
5.23,0.6,0.00012832420241608742,0.00012482810553694217,0.00017902278306871153,0.7715887904125389
5.24,0.6,0.00012799104788490648,0.00012450800390378708,0.00017856077781747557,0.7716047528435661
5.25,0.6,0.00012765901053929369,0.00012418896241827996,0.00017810031262858707,0.7716206907522691
5.26,0.6,0.00012732808572632026,0.00012387097666280298,0.00017764138108595598,0.7716366039731586
5.2700000000000005,0.6,0.00012699826881599704,0.00012355404224180023,0.00017718397680532177,0.7716524923415813
5.28,0.6,0.0001266695552011466,0.00012323815478165214,0.00017672809343407397,0.7716683556937194
5.29,0.6,0.000126341940297276,0.00012292330993055376,0.00017627372465107622,0.7716841938665988
5.3,0.6,0.00012601541954245044,0.00012260950335838053,0.00017582086416648206,0.7717000066980484
5.3100000000000005,0.6,0.00012568998839716772,0.00012229673075657427,0.00017536950572156546,0.7717157940267287
5.32,0.6,0.0001253656423442332,0.00012198498783802812,0.000174919643088551,0.7717315556921673
5.33,0.6,0.00012504237688863585,0.00012167427033694243,0.00017447127007042448,0.771747291534659
5.34,0.6,0.00012472018755742484,0.00012136457400873128,0.00017402438050077938,0.7717630013953771
5.3500000000000005,0.6,0.00012439906989958682,0.00012105589462987688,0.00017357896824362723,0.7717786851162693
5.36,0.6,0.0001240790194859243,0.00012074822799782897,0.00017313502719324032,0.7717943425401295
5.37,0.6,0.0001237600319089342,0.00012044156993087801,0.00017269255127397648,0.7718099735105635
5.38,0.6,0.00012344210278268766,0.00012013591626803708,0.00017225153444011012,0.7718255778719865
5.39,0.6,0.00012312522774271032,0.00011983126286892327,0.00017181197067566413,0.7718411554696134
5.4,0.6,0.00012280940244586327,0.00011952760561364788,0.00017137385399424777,0.7718567061494856
5.41,0.6,0.00012249462257022482,0.00011922494040269161,0.00017093717843888497,0.771872229758432
5.42,0.6,0.00012218088381497314,0.00011892326315679516,0.00017050193808185383,0.7718877261440875
5.43,0.6,0.00012186818190026921,0.00011862256981684879,0.00017006812702452588,0.7719031951549082
5.44,0.6,0.00012155651256714082,0.0001183228563437665,0.00016963573939719504,0.771918636640121
5.45,0.6,0.00012124587157736706,0.00011802411871838334,0.0001692047693589233,0.7719340504497589
5.46,0.6,0.00012093625471336377,0.0001177263529413451,0.0001687752110973817,0.7719494364346722
5.47,0.6,0.0001206276577780693,0.00011742955503298283,0.0001683470588286809,0.7719647944464638
5.48,0.6,0.00012032007659483125,0.00011713372103321727,0.00016792030679722337,0.7719801243375528
5.49,0.6,0.00012001350700729383,0.00011683884700144131,0.00016749494927554076,0.7719954259611423
5.5,0.6,0.00011970794487928583,0.00011654492901640843,0.0001670709805641357,0.7720106991712066
5.51,0.6,0.00011940338609470927,0.00011625196317612501,0.00016664839499132698,0.7720259438224941
5.5200000000000005,0.6,0.00011909982655742883,0.00011595994559774795,0.00016622718691309884,0.7720411597705503
5.53,0.6,0.00011879726219116176,0.00011566887241747267,0.00016580735071294398,0.7720563468716959
5.54,0.6,0.0001184956889393687,0.00011537873979042771,0.00016538888080171185,0.7720715049830313
5.55,0.6,0.00011819510276514483,0.00011508954389056637,0.00016497177161745507,0.7720866339624237
5.5600000000000005,0.6,0.00011789549965111198,0.00011480128091056002,0.00016455601762527757,0.7721017336685017
5.57,0.6,0.00011759687559931128,0.00011451394706169853,0.00016414161331718835,0.7721168039606736
