t,peak,symmetry_error,chi,norm
179,1.0376968743,0.0023615477,0.0108483040,4.6444960883
180,1.0377715583,0.0023084565,0.0110182921,4.6444444032
181,1.0368503049,0.0022074186,0.0069942713,4.6431100148
182,1.0373200469,0.0021266657,0.0149429911,4.6443291443
183,1.0376940480,0.0021279392,0.0110384174,4.6443337075
184,1.0379049003,0.0024190283,0.0099030320,4.6446292116
185,1.0387825154,0.0025493403,0.0144952403,4.6450669158
186,1.0388618239,0.0025037564,0.0097124206,4.6459354497
187,1.0393267686,0.0023131519,0.0186671039,4.6469899405
188,1.0400323370,0.0022429488,0.0136869844,4.6485048407
189,1.0405287910,0.0023044232,0.0097232017,4.6481887045
190,1.0410422843,0.0022991446,0.0026675281,4.6469791798
191,1.0408466311,0.0022872002,0.0057227847,4.6457013469
192,1.0408870507,0.0019893773,0.0172167878,4.6470834571
193,1.0409544548,0.0019230160,0.0117571005,4.6469925503
194,1.0415627851,0.0017861156,0.0106409997,4.6467974704
195,1.0418587201,0.0017022347,0.0198876077,4.6482898193
196,1.0417444438,0.0016960464,0.0058432836,4.6466690404
197,1.0416154878,0.0017508352,0.0091888426,4.6462425752
198,1.0416056428,0.0018764505,0.0097315792,4.6458816075
199,1.0427568811,0.0018961107,0.0148144190,4.6469886607
200,1.0428488064,0.0017367861,0.0088150310,4.6468879188
201,1.0432599640,0.0016267614,0.0090555943,4.6468337153
202,1.0427655509,0.0016425180,0.0042952829,4.6453654482
203,1.0435510633,0.0018811832,0.0155008771,4.6457649325
204,1.0443675672,0.0018781890,0.0158694689,4.6463218543
205,1.0445775118,0.0021231624,0.0097133916,4.6463971178
206,1.0448124325,0.0023966278,0.0127840317,4.6462532132
207,1.0446312740,0.0024258704,0.0057952986,4.6451679041
208,1.0455672009,0.0024693247,0.0097352969,4.6455912936
209,1.0461018933,0.0026567063,0.0186141646,4.6469768831
210,1.0463723612,0.0024552733,0.0126515075,4.6471036777
211,1.0475470929,0.0023787324,0.0230897447,4.6491878210
212,1.0476982523,0.0022979862,0.0082214748,4.6492249523
213,1.0484810339,0.0021130741,0.0147853652,4.6503500420
214,1.0488637055,0.0023079932,0.0110615720,4.6508769125
215,1.0493056578,0.0023713628,0.0147159257,4.6519546191
216,1.0500685532,0.0024161494,0.0119653855,4.6518897690
217,1.0500182921,0.0023428988,0.0093062491,4.6515815278
218,1.0502299312,0.0024759982,0.0078354395,4.6508624210
219,1.0515236465,0.0025654128,0.0267169763,4.6538581719
220,1.0521676236,0.0023825029,0.0116287437,4.6547762112
221,1.0518650645,0.0025457843,0.0023200287,4.6532112031
222,1.0519681351,0.0022651253,0.0088867171,4.6524643539
223,1.0527243793,0.0023657425,0.0152545907,4.6532094274
224,1.0526722092,0.0021625925,0.0095999595,4.6526585189
225,1.0536702964,0.0019917752,0.0185301418,4.6542859786
226,1.0540467859,0.0019209486,0.0168115117,4.6560270432
227,1.0547912079,0.0016979362,0.0112687745,4.6567104972
228,1.0556322527,0.0019427553,0.0097333635,4.6570846607
229,1.0548132721,0.0016825641,0.0071769552,4.6554074098
230,1.0553720138,0.0012712547,0.0086401606,4.6548178422
231,1.0542255762,0.0012122935,0.0049289132,4.6536938670
232,1.0542742796,0.0013284290,0.0177811022,4.6554844190
233,1.0547130872,0.0009749015,0.0196353638,4.6577138131
234,1.0544916994,0.0010754937,0.0059705373,4.6573424797
235,1.0544790271,0.0008680015,0.0063279217,4.6568243166
236,1.0538917439,0.0009346809,0.0035111431,4.6558841322
237,1.0540090847,0.0009836315,0.0073734997,4.6549238113
238,1.0534385524,0.0007230037,0.0000000000,4.6523663231
239,1.0539400923,0.0008992294,0.0065170610,4.6517734918
240,1.0544687859,0.0010573809,0.0182251939,4.6535889594
241,1.0545978234,0.0009772802,0.0103407719,4.6538545937
242,1.0555552891,0.0010901783,0.0161020043,4.6551517376
243,1.0550477502,0.0012504031,0.0096529485,4.6549338575
244,1.0553357041,0.0012052185,0.0204512030,4.6568304636
245,1.0555233237,0.0009771789,0.0129562463,4.6573081433
246,1.0551406364,0.0011162197,0.0101663890,4.6571418028
247,1.0568434127,0.0012645362,0.0242516353,4.6598418868
248,1.0563829007,0.0010414903,0.0104425351,4.6597014053
249,1.0566760202,0.0013141507,0.0061381279,4.6581865954
250,1.0565908940,0.0012732992,0.0129691680,4.6587856079
251,1.0571356103,0.0010308041,0.0118135918,4.6593012013
252,1.0579679890,0.0010704737,0.0171183579,4.6609438558
253,1.0576497086,0.0009282573,0.0075761572,4.6604285780
254,1.0571565885,0.0008285512,0.0158626413,4.6612198531
255,1.0580766444,0.0010534635,0.0160931927,4.6621631832
256,1.0582236171,0.0010998530,0.0087951010,4.6615081275
257,1.0584835953,0.0011228723,0.0127835712,4.6619583365
258,1.0581115563,0.0012948089,0.0080123906,4.6612644024
259,1.0591269373,0.0014409217,0.0232598788,4.6644267751
260,1.0588353507,0.0016790974,0.0086201301,4.6639325747
261,1.0589582543,0.0017068504,0.0098252427,4.6642096432
262,1.0587348895,0.0016845679,0.0068839775,4.6638478302
263,1.0587061932,0.0017348970,0.0103386179,4.6635573204
264,1.0588836420,0.0016699923,0.0119717951,4.6639216065
265,1.0587592129,0.0016450774,0.0156853878,4.6652640815
266,1.0584158412,0.0016819909,0.0090696641,4.6647556329
267,1.0585910819,0.0017042274,0.0111082850,4.6649249021
268,1.0582024394,0.0018735931,0.0052008510,4.6640140803
269,1.0583276439,0.0020248232,0.0080284693,4.6634655334
270,1.0595197311,0.0019180733,0.0252278763,4.6666589220
271,1.0598101195,0.0018513320,0.0169979673,4.6681251092
272,1.0595378215,0.0020202278,0.0082491646,4.6673043652
273,1.0589185280,0.0021028163,0.0055804932,4.6662574892
274,1.0586518879,0.0021994445,0.0073172024,4.6653498740
275,1.0589534490,0.0022354602,0.0118958839,4.6658224035
276,1.0592918745,0.0023052092,0.0121666934,4.6665795462
277,1.0594365763,0.0021537265,0.0084270691,4.6666194840
278,1.0595291165,0.0021719333,0.0058244426,4.6653643422
279,1.0605165863,0.0022727977,0.0188274168,4.6676042375
280,1.0606681312,0.0022527953,0.0141680902,4.6686132127
281,1.0613465628,0.0023250466,0.0102020735,4.6686620613
282,1.0617070603,0.0024713238,0.0109408262,4.6682175280
283,1.0621914198,0.0024226703,0.0094582538,4.6684060453
284,1.0612847361,0.0023618226,0.0000000000,4.6660525341
285,1.0612628973,0.0024677442,0.0125551768,4.6665638089
286,1.0621664219,0.0026813603,0.0068613868,4.6664227224
287,1.0625082155,0.0028015338,0.0071871154,4.6658530326
288,1.0627455199,0.0025933249,0.0089267405,4.6656836188
289,1.0629004746,0.0025932197,0.0155150482,4.6671795708
290,1.0632728988,0.0027496352,0.0063814521,4.6664361985
291,1.0628380189,0.0022970104,0.0051154490,4.6644089941
292,1.0631476678,0.0023464333,0.0150712900,4.6652727248
