t,peak,symmetry_error,chi,norm
147,1.0299914188,0.0023846725,0.0120000000,4.6287926577
148,1.0302220777,0.0023988840,0.0120000000,4.6288597495
149,1.0300815169,0.0022178504,0.0120000000,4.6289423387
150,1.0300526358,0.0022039262,0.0120000000,4.6293063626
151,1.0301046470,0.0022299008,0.0120000000,4.6295702381
152,1.0304216580,0.0021447179,0.0120000000,4.6296179496
153,1.0311773328,0.0019649290,0.0120000000,4.6304993913
154,1.0312820578,0.0018399816,0.0120000000,4.6310266854
155,1.0319145736,0.0016403340,0.0120000000,4.6309049141
156,1.0322904645,0.0017681369,0.0120000000,4.6311923687
157,1.0320488591,0.0017425485,0.0120000000,4.6310595197
158,1.0323660452,0.0016100321,0.0120000000,4.6314931747
159,1.0327913303,0.0014929020,0.0120000000,4.6316775503
160,1.0333229036,0.0016854626,0.0120000000,4.6322053937
161,1.0333447103,0.0013740553,0.0120000000,4.6325837377
162,1.0341834128,0.0013458604,0.0120000000,4.6326744967
163,1.0337411976,0.0012913226,0.0120000000,4.6325916805
164,1.0335313656,0.0013487003,0.0120000000,4.6327269367
165,1.0332448000,0.0014942563,0.0120000000,4.6331003996
166,1.0336248588,0.0017493912,0.0120000000,4.6335365188
167,1.0341862026,0.0019368855,0.0120000000,4.6336421943
168,1.0344682140,0.0018996589,0.0120000000,4.6347751176
169,1.0346876532,0.0018394778,0.0120000000,4.6353305106
170,1.0350432001,0.0020993205,0.0120000000,4.6358892193
171,1.0347021672,0.0019794869,0.0120000000,4.6359907179
172,1.0354150130,0.0019064626,0.0120000000,4.6363860917
173,1.0357629882,0.0019475687,0.0120000000,4.6365107524
174,1.0354152092,0.0020230330,0.0120000000,4.6368966972
175,1.0352932003,0.0019611517,0.0120000000,4.6370240736
176,1.0349802164,0.0020172765,0.0120000000,4.6373465288
177,1.0348722744,0.0021030476,0.0120000000,4.6375488717
178,1.0357770631,0.0021310086,0.0120000000,4.6378372459
179,1.0356080101,0.0023649374,0.0120000000,4.6379800471
180,1.0357453656,0.0023118515,0.0120000000,4.6381240508
181,1.0351567444,0.0022121757,0.0120000000,4.6378263595
182,1.0354271510,0.0021305199,0.0120000000,4.6384232832
183,1.0358627225,0.0021321010,0.0120000000,4.6386202472
184,1.0362114268,0.0024241738,0.0120000000,4.6393460054
185,1.0369191213,0.0025539860,0.0120000000,4.6392539972
186,1.0371494764,0.0025089676,0.0120000000,4.6405933582
187,1.0371633416,0.0023160344,0.0120000000,4.6402442606
188,1.0377519680,0.0022451881,0.0120000000,4.6413958994
189,1.0383985939,0.0023074474,0.0120000000,4.6415467429
190,1.0395396456,0.0023046797,0.0120000000,4.6422862242
191,1.0397666801,0.0022946794,0.0120000000,4.6423179675
192,1.0394525836,0.0019950056,0.0120000000,4.6426019426
193,1.0395342728,0.0019285973,0.0120000000,4.6425554794
194,1.0402324545,0.0017919501,0.0120000000,4.6426389163
195,1.0399916583,0.0017060120,0.0120000000,4.6424696134
196,1.0402922855,0.0017013403,0.0120000000,4.6421345844
197,1.0403518331,0.0017567673,0.0120000000,4.6422916239
198,1.0404939263,0.0018830009,0.0120000000,4.6424009380
199,1.0414527034,0.0019019649,0.0120000000,4.6429118848
200,1.0417593492,0.0017433807,0.0120000000,4.6434745982
201,1.0423692553,0.0016339759,0.0120000000,4.6440344279
202,1.0423984682,0.0016516665,0.0120000000,4.6441821152
203,1.0429453706,0.0018895264,0.0120000000,4.6438444006
204,1.0434972050,0.0018854201,0.0120000000,4.6435851170
205,1.0438621527,0.0021311980,0.0120000000,4.6441372761
206,1.0440424375,0.0024045951,0.0120000000,4.6438250794
207,1.0442847730,0.0024358901,0.0120000000,4.6440421497
208,1.0453751741,0.0024800693,0.0120000000,4.6449400361
209,1.0454560840,0.0026653418,0.0120000000,4.6449330779
210,1.0456808848,0.0024635772,0.0120000000,4.6449195991
211,1.0460923172,0.0023833102,0.0120000000,4.6446630530
212,1.0465018532,0.0023036635,0.0120000000,4.6454917467
213,1.0470906230,0.0021177001,0.0120000000,4.6460230080
214,1.0475360502,0.0023130536,0.0120000000,4.6467418935
215,1.0477879329,0.0023755729,0.0120000000,4.6472386351
216,1.0485508712,0.0024203207,0.0120000000,4.6471740574
217,1.0486853936,0.0023479235,0.0120000000,4.6474295256
218,1.0491842490,0.0024826346,0.0120000000,4.6475868026
219,1.0494534898,0.0025662855,0.0120000000,4.6474611367
220,1.0501200771,0.0023831696,0.0120000000,4.6484486270
221,1.0504907866,0.0025506024,0.0120000000,4.6489309671
222,1.0508090982,0.0022710654,0.0120000000,4.6488384740
223,1.0513362140,0.0023704225,0.0120000000,4.6488873310
224,1.0514498606,0.0021680302,0.0120000000,4.6488398355
225,1.0519889910,0.0019941335,0.0120000000,4.6490747105
226,1.0520250956,0.0019211700,0.0120000000,4.6497844196
227,1.0528176645,0.0016981009,0.0120000000,4.6506141910
228,1.0538151485,0.0019441550,0.0120000000,4.6514628544
229,1.0533336709,0.0016857094,0.0120000000,4.6508058181
230,1.0541266420,0.0012754151,0.0120000000,4.6509250293
231,1.0534769361,0.0012191196,0.0120000000,4.6513014669
232,1.0531180577,0.0013332805,0.0120000000,4.6518580399
233,1.0530181861,0.0009764707,0.0120000000,4.6524545149
234,1.0532185242,0.0010792290,0.0120000000,4.6533627704
235,1.0536028595,0.0008736042,0.0120000000,4.6540498977
236,1.0536113893,0.0009430925,0.0120000000,4.6549181742
237,1.0540532779,0.0009935613,0.0120000000,4.6549439501
238,1.0543259706,0.0007370755,0.0120000000,4.6549465405
239,1.0552136470,0.0009150223,0.0120000000,4.6555252062
240,1.0553072707,0.0010709029,0.0120000000,4.6560206955
241,1.0555545142,0.0009915008,0.0120000000,4.6566438050
242,1.0562249765,0.0011028860,0.0120000000,4.6570699322
243,1.0558842579,0.0012639572,0.0120000000,4.6573559975
244,1.0555781807,0.0012154277,0.0120000000,4.6574516389
245,1.0556988486,0.0009870570,0.0120000000,4.6577257296
246,1.0554459031,0.0011267425,0.0120000000,4.6579521558
247,1.0562857306,0.0012706549,0.0120000000,4.6580327858
248,1.0559346508,0.0010481397,0.0120000000,4.6582234800
249,1.0566417065,0.0013229550,0.0120000000,4.6579632883
250,1.0564879755,0.0012817153,0.0120000000,4.6583543105
251,1.0570457692,0.0010392811,0.0120000000,4.6589092093
252,1.0575152478,0.0010769749,0.0120000000,4.6594535241
253,1.0575105827,0.0009365503,0.0120000000,4.6598861294
254,1.0567430865,0.0008354343,0.0120000000,4.6598470215
255,1.0573723522,0.0010591141,0.0120000000,4.6599083432
256,1.0577459685,0.0011066254,0.0120000000,4.6599394865
257,1.0579494784,0.0011294261,0.0120000000,4.6602187420
258,1.0578603249,0.0013026761,0.0120000000,4.6603803463
259,1.0580749799,0.0014453073,0.0120000000,4.6611185728
260,1.0580225994,0.0016848321,0.0120000000,4.6613483975
261,1.0582990786,0.0017133372,0.0120000000,4.6620906438
262,1.0584391734,0.0016927960,0.0120000000,4.6628297719
263,1.0585283366,0.0017436813,0.0120000000,4.6628961541
264,1.0587075533,0.0016787965,0.0120000000,4.6632654502
265,1.0583203512,0.0016526749,0.0120000000,4.6638114988
266,1.0581849517,0.0016905359,0.0120000000,4.6639339774
267,1.0584232942,0.0017130652,0.0120000000,4.6642945953
268,1.0585183627,0.0018843972,0.0120000000,4.6648520121
269,1.0589265408,0.0020368322,0.0120000000,4.6651625287
270,1.0591789083,0.0019257174,0.0120000000,4.6655015986
271,1.0591120791,0.0018573432,0.0120000000,4.6658834898
272,1.0591065082,0.0020274666,0.0120000000,4.6658727012
273,1.0589446566,0.0021122170,0.0120000000,4.6662151187
274,1.0590117321,0.0022105241,0.0120000000,4.6663218635
275,1.0593213844,0.0022465879,0.0120000000,4.6668183709
276,1.0596486333,0.0023163282,0.0120000000,4.6675409079
277,1.0600488203,0.0021663066,0.0120000000,4.6683569768
278,1.0605830982,0.0021867773,0.0120000000,4.6684438271
279,1.0610852340,0.0022851607,0.0120000000,4.6692087038
280,1.0610826781,0.0022643850,0.0120000000,4.6697494142
281,1.0618906145,0.0023373046,0.0120000000,4.6701909149
282,1.0623280979,0.0024839499,0.0120000000,4.6699792087
283,1.0629961196,0.0024363992,0.0120000000,4.6707232947
284,1.0629537697,0.0023803376,0.0120000000,4.6709845529
285,1.0628951169,0.0024858454,0.0120000000,4.6713828066
286,1.0641701085,0.0027011274,0.0120000000,4.6723663382
287,1.0648615637,0.0028230406,0.0120000000,4.6728522787
288,1.0653242866,0.0026164636,0.0120000000,4.6733616713
289,1.0652307293,0.0026151858,0.0120000000,4.6741050795
290,1.0660121559,0.0027734965,0.0120000000,4.6745952027
291,1.0660787471,0.0023245342,0.0120000000,4.6740783129
292,1.0661729417,0.0023726931,0.0120000000,4.6742894996
293,1.0667165320,0.0022059371,0.0120000000,4.6746109131
294,1.0668302069,0.0020100483,0.0120000000,4.6753073663
295,1.0671418047,0.0021168674,0.0120000000,4.6766557336
296,1.0673393028,0.0021517532,0.0120000000,4.6768524505
297,1.0678309665,0.0021075740,0.0120000000,4.6774661597
298,1.0677635019,0.0021307410,0.0120000000,4.6789084377
299,1.0678028402,0.0021834011,0.0120000000,4.6795788117
300,1.0681313986,0.0024146405,0.0120000000,4.6801644722
301,1.0685659214,0.0025022550,0.0120000000,4.6804650279
302,1.0684686139,0.0024301288,0.0120000000,4.6809373405
303,1.0688558155,0.0024911820,0.0120000000,4.6812368286
304,1.0693628713,0.0024263074,0.0120000000,4.6813212058
305,1.0691417041,0.0026985645,0.0120000000,4.6819764655
306,1.0697565494,0.0029426153,0.0120000000,4.6818629391
307,1.0696194846,0.0030053738,0.0120000000,4.6819854371
308,1.0695905490,0.0029804627,0.0120000000,4.6818630735
309,1.0695089241,0.0029229206,0.0120000000,4.6818601074
310,1.0698443088,0.0028785393,0.0120000000,4.6821828117
311,1.0699402681,0.0030323528,0.0120000000,4.6829631517
312,1.0699015794,0.0028655604,0.0120000000,4.6838325154
313,1.0702078624,0.0028824507,0.0120000000,4.6847069615
314,1.0705694729,0.0027186131,0.0120000000,4.6854912733
315,1.0708540959,0.0026559313,0.0120000000,4.6854891285
316,1.0712677566,0.0027296327,0.0120000000,4.6857463063
317,1.0720261394,0.0030928739,0.0120000000,4.6862779581
318,1.0716167712,0.0030347886,0.0120000000,4.6865758107
319,1.0720496197,0.0030859648,0.0120000000,4.6870272198
320,1.0723721567,0.0032898653,0.0120000000,4.6879579526
321,1.0732163477,0.0032628974,0.0120000000,4.6883396284
322,1.0736959864,0.0031492447,0.0120000000,4.6893709317
323,1.0738612701,0.0030744582,0.0120000000,4.6895621136
324,1.0734178413,0.0030304800,0.0120000000,4.6901487742
325,1.0740622918,0.0029967789,0.0120000000,4.6905538300
326,1.0744685969,0.0030039138,0.0120000000,4.6906516425
327,1.0743611246,0.0032294448,0.0120000000,4.6909516924
328,1.0745609144,0.0033632021,0.0120000000,4.6919685205
329,1.0746378358,0.0030124973,0.0120000000,4.6924357205
330,1.0755041602,0.0029300216,0.0120000000,4.6932077166
331,1.0757761605,0.0028839874,0.0120000000,4.6929975246
332,1.0758144724,0.0030501653,0.0120000000,4.6931982625
333,1.0765454103,0.0032997169,0.0120000000,4.6938282165
334,1.0771531373,0.0031787880,0.0120000000,4.6940978393
335,1.0775679654,0.0031129644,0.0120000000,4.6951455974
336,1.0782208965,0.0029831728,0.0120000000,4.6954055850
337,1.0782081044,0.0030373278,0.0120000000,4.6952612074
338,1.0785017665,0.0029713164,0.0120000000,4.6960929391
339,1.0790090716,0.0030062655,0.0120000000,4.6964921735
340,1.0794027615,0.0028806735,0.0120000000,4.6970318542
341,1.0800929922,0.0028348571,0.0120000000,4.6972212143
342,1.0796823854,0.0030796058,0.0120000000,4.6976806074
343,1.0799712806,0.0030777707,0.0120000000,4.6979211157
344,1.0802293554,0.0030904586,0.0120000000,4.6981443483
345,1.0804029110,0.0031968365,0.0120000000,4.6988408868
346,1.0808144881,0.0030725428,0.0120000000,4.6991662586
347,1.0808766802,0.0030312692,0.0120000000,4.6998474090
348,1.0809872719,0.0032019670,0.0120000000,4.7000860224
349,1.0815735661,0.0031377877,0.0120000000,4.7007372065
350,1.0818600710,0.0032979613,0.0120000000,4.7012644263
351,1.0824376413,0.0035962442,0.0120000000,4.7018257429
352,1.0823969832,0.0034256954,0.0120000000,4.7019617922
353,1.0826985655,0.0031808890,0.0120000000,4.7021033349
354,1.0830908918,0.0031479293,0.0120000000,4.7023090351
355,1.0836637706,0.0028933942,0.0120000000,4.7029018006
356,1.0841758770,0.0028431975,0.0120000000,4.7033499842
357,1.0847616893,0.0027389894,0.0120000000,4.7034186334
358,1.0848228059,0.0026873928,0.0120000000,4.7035095405
359,1.0850212525,0.0029064671,0.0120000000,4.7041425546
360,1.0854258864,0.0027935474,0.0120000000,4.7045971083
361,1.0852949538,0.0027902009,0.0120000000,4.7045063636
362,1.0857969267,0.0029603007,0.0120000000,4.7044035173
363,1.0859431671,0.0030509958,0.0120000000,4.7048391740
364,1.0865079779,0.0030399375,0.0120000000,4.7053143490
365,1.0865238921,0.0031917560,0.0120000000,4.7059544903
366,1.0865505083,0.0030044886,0.0120000000,4.7066111166
367,1.0871498944,0.0031268494,0.0120000000,4.7068895749
368,1.0872105290,0.0030522692,0.0120000000,4.7076175838
369,1.0880604812,0.0031746086,0.0120000000,4.7086864823
370,1.0885769427,0.0033051906,0.0120000000,4.7088021123
371,1.0888661042,0.0032495273,0.0120000000,4.7092028329
372,1.0888004686,0.0034639802,0.0120000000,4.7094993741
373,1.0894824198,0.0033991882,0.0120000000,4.7105768889
374,1.0899043853,0.0034294235,0.0120000000,4.7108110672
375,1.0905521951,0.0035615545,0.0120000000,4.7119264417
376,1.0915144440,0.0036657708,0.0120000000,4.7129219525
377,1.0923430971,0.0037615292,0.0120000000,4.7128795994
378,1.0922472808,0.0035009462,0.0120000000,4.7136034570
379,1.0931300622,0.0034171454,0.0120000000,4.7139389437
380,1.0929057984,0.0033090885,0.0120000000,4.7147654204
381,1.0927547043,0.0034511332,0.0120000000,4.7154519235
382,1.0928170509,0.0034883649,0.0120000000,4.7156900583
383,1.0929699554,0.0035168802,0.0120000000,4.7158312350
384,1.0934869078,0.0033684482,0.0120000000,4.7167029154
385,1.0943367201,0.0032106910,0.0120000000,4.7173997307
386,1.0955109076,0.0033181671,0.0120000000,4.7185322770
387,1.0957528900,0.0030379468,0.0120000000,4.7189559241
388,1.0957925067,0.0029904844,0.0120000000,4.7187224020
389,1.0964775024,0.0030753276,0.0120000000,4.7190334207
390,1.0971077523,0.0030790795,0.0120000000,4.7197388756
391,1.0975388117,0.0030315887,0.0120000000,4.7214573466
392,1.0978384447,0.0029221813,0.0120000000,4.7213583408
393,1.0979238038,0.0030887352,0.0120000000,4.7221805468
394,1.0974288851,0.0027870452,0.0120000000,4.7227825426
395,1.0980882058,0.0030009267,0.0120000000,4.7235039387
396,1.0984967274,0.0032654572,0.0120000000,4.7243079772
397,1.0994787886,0.0033917739,0.0120000000,4.7260723631
398,1.0996597461,0.0033104937,0.0120000000,4.7271324425
399,1.1000989890,0.0034321498,0.0120000000,4.7279302119
400,1.1009878741,0.0037432391,0.0120000000,4.7286889901
401,1.1018573885,0.0034505159,0.0120000000,4.7296338947
402,1.1019193352,0.0036529807,0.0120000000,4.7304242386
403,1.1023195840,0.0036585203,0.0120000000,4.7312508802
404,1.1030349451,0.0036220062,0.0120000000,4.7312697940
405,1.1038893541,0.0036512825,0.0120000000,4.7323884447
406,1.1046624861,0.0034985505,0.0120000000,4.7332304601
407,1.1051164458,0.0036247520,0.0120000000,4.7340312020
408,1.1056481291,0.0037452646,0.0120000000,4.7349962503
409,1.1058858890,0.0037755311,0.0120000000,4.7353596654
410,1.1055435420,0.0038388477,0.0120000000,4.7355467150
411,1.1059701453,0.0039040992,0.0120000000,4.7354801827
412,1.1064439264,0.0041489153,0.0120000000,4.7369238447
413,1.1068916956,0.0040104154,0.0120000000,4.7379507950
414,1.1072396093,0.0039389871,0.0120000000,4.7388697681
415,1.1076778308,0.0039404062,0.0120000000,4.7398580734
